user_id,username,frequency,avg_message_length,total_messages,url_ratio,repetition_ratio,time_in_channel,suspicious_links,generic_name,username_length,has_numbers,has_underscore,numeric_ratio,uppercase_ratio,special_char_count,is_bot
52556355,RenatalvsMatiasRecalt,0.2087912087912088,76.15789473684211,19,0.7368421052631579,1.1176470588235294,91,0,0,21,0,0,0.0,0.14285714285714285,0,1
33169341,Doriftoarg,0.011627906976744186,18.0,2,0.0,2.0,172,0,0,10,0,0,0.0,0.1,0,0
48997988,KASHI_292,0.05555555555555555,62.0,1,1.0,1.0,18,0,0,9,1,1,0.3333333333333333,0.5555555555555556,1,1
29487456,kami23d,0.006993006993006993,15.0,1,0.0,1.0,143,0,0,7,1,0,0.2857142857142857,0.0,0,0
80626074,ambs2084,0.03333333333333333,53.0,3,1.0,3.0,90,0,0,8,1,0,0.5,0.0,0,1
58330005,Wolfthan,0.014492753623188406,19.0,1,0.0,1.0,69,0,0,8,0,0,0.0,0.125,0,0
14571583,alevidallet,0.00819672131147541,61.0,1,1.0,1.0,122,0,0,11,0,0,0.0,0.0,0,1
48997988,KASHI_292,0.05555555555555555,62.0,1,1.0,1.0,18,0,0,9,1,1,0.3333333333333333,0.5555555555555556,1,1
4576056,lilbnc,0.10256410256410256,37.75,8,0.0,1.0,78,0,0,6,0,0,0.0,0.0,0,0
38223346,Jijoxd,0.015384615384615385,25.0,2,0.0,2.0,130,0,0,6,0,0,0.0,0.16666666666666666,0,0
29527732,Nahuuu_3,0.043478260869565216,22.0,5,0.0,1.25,115,0,0,8,1,1,0.125,0.125,1,0
4957850,Valakk,0.05952380952380952,22.0,5,0.0,1.0,84,0,0,6,0,0,0.0,0.16666666666666666,0,0
14571583,alevidallet,0.00819672131147541,61.0,1,1.0,1.0,122,0,0,11,0,0,0.0,0.0,0,1
36751016,viti_ww,0.016129032258064516,25.0,2,0.0,2.0,124,0,0,7,0,1,0.0,0.0,1,0
65245327,zaaraluna,0.02304147465437788,22.8,5,0.0,1.25,217,0,0,9,0,0,0.0,0.0,0,0
35249898,trolik_ts,0.004784688995215311,28.0,1,0.0,1.0,209,0,0,9,0,1,0.0,0.0,1,0
63534649,Lautaro_RBL,0.11538461538461539,62.666666666666664,15,1.0,7.5,130,0,0,11,0,1,0.0,0.36363636363636365,1,1
79567656,KANSASANYMORE,0.5,49.333333333333336,3,1.0,1.0,6,0,0,13,0,0,0.0,1.0,0,1
4945209,KevinGC10,0.25,19.0,3,0.0,1.0,12,0,0,9,1,0,0.2222222222222222,0.3333333333333333,0,0
52556355,RenatalvsMatiasRecalt,0.2087912087912088,76.15789473684211,19,0.7368421052631579,1.1176470588235294,91,0,0,21,0,0,0.0,0.14285714285714285,0,1
74484208,Pablozz08,0.004405286343612335,10.0,1,0.0,1.0,227,0,0,9,1,0,0.2222222222222222,0.1111111111111111,0,0
64735000,brun77,0.05732484076433121,19.666666666666668,9,0.0,3.0,157,0,0,6,1,0,0.3333333333333333,0.0,0,0
14571583,alevidallet,0.00819672131147541,61.0,1,1.0,1.0,122,0,0,11,0,0,0.0,0.0,0,1
32318089,Carp91218R,0.06172839506172839,18.0,5,0.0,5.0,81,0,0,10,1,0,0.5,0.2,0,0
26960206,Porotoo2,0.09090909090909091,6.0,6,0.0,1.5,66,0,0,8,1,0,0.125,0.125,0,0
56338145,sofiii11pp,0.5652173913043478,38.02564102564103,39,1.0,19.5,69,0,0,10,1,0,0.2,0.0,0,1
63534649,Lautaro_RBL,0.11538461538461539,62.666666666666664,15,1.0,7.5,130,0,0,11,0,1,0.0,0.36363636363636365,1,1
64764396,benjiespin,0.7647058823529411,53.23076923076923,13,1.0,6.5,17,0,0,10,0,0,0.0,0.0,0,1
31053659,AgusGonzalezz19,0.05084745762711865,10.666666666666666,3,0.0,1.0,59,0,0,15,1,0,0.13333333333333333,0.13333333333333333,0,0
